Totales Territoriales;Comunidades y Ciudades Autónomas;Ramas de actividad;Magnitud;periodo;Total
Total Nacional;;Impuestos netos sobre los productos;Tasas de variación interanuales;2021(P);18,9
Total Nacional;;Impuestos netos sobre los productos;Tasas de variación interanuales;2020;-15,5
Total Nacional;;Impuestos netos sobre los productos;Tasas de variación interanuales;2019;1,3
Total Nacional;;Impuestos netos sobre los productos;Estructura porcentual;2021(P);9,5
Total Nacional;;Impuestos netos sobre los productos;Estructura porcentual;2020;8,8
Total Nacional;;Impuestos netos sobre los productos;Estructura porcentual;2019;9,3
Total Nacional;;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2021(P);1.222.290.000
Total Nacional;;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2020;1.119.010.000
Total Nacional;;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2019;1.245.513.000
Total Nacional;;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2021(P);9,2
Total Nacional;;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2020;-10,2
Total Nacional;;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2019;3,5
Total Nacional;;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Estructura porcentual;2021(P);100,0
Total Nacional;;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Estructura porcentual;2020;100,0
Total Nacional;;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Estructura porcentual;2019;100,0
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2021(P);164.003.435
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2020;148.779.089
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2019;164.929.489
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2021(P);10,2
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2020;-9,8
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2019;2,7
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Estructura porcentual;2021(P);100,0
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Estructura porcentual;2020;100,0
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Estructura porcentual;2019;100,0
Total Nacional;01 Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Valor;2021(P);10.862.905
Total Nacional;01 Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Valor;2020;9.659.346
Total Nacional;01 Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Valor;2019;9.079.829
Total Nacional;01 Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Tasas de variación interanuales;2021(P);12,5
Total Nacional;01 Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Tasas de variación interanuales;2020;6,4
Total Nacional;01 Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Tasas de variación interanuales;2019;-13,1
Total Nacional;01 Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Estructura porcentual;2021(P);6,6
Total Nacional;01 Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Estructura porcentual;2020;6,5
Total Nacional;01 Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Estructura porcentual;2019;5,5
Total Nacional;01 Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Valor;2021(P);17.856.427
Total Nacional;01 Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Valor;2020;15.272.457
Total Nacional;01 Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Valor;2019;17.232.082
Total Nacional;01 Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Tasas de variación interanuales;2021(P);16,9
Total Nacional;01 Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Tasas de variación interanuales;2020;-11,4
Total Nacional;01 Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Tasas de variación interanuales;2019;0,6
Total Nacional;01 Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2021(P);10,9
Total Nacional;01 Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2020;10,3
Total Nacional;01 Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2019;10,4
Total Nacional;01 Andalucía;C. - De las cuales: Industria manufacturera;Valor;2021(P);11.165.317
Total Nacional;01 Andalucía;C. - De las cuales: Industria manufacturera;Valor;2020;9.570.097
Total Nacional;01 Andalucía;C. - De las cuales: Industria manufacturera;Valor;2019;11.124.305
Total Nacional;01 Andalucía;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2021(P);16,7
Total Nacional;01 Andalucía;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2020;-14,0
Total Nacional;01 Andalucía;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2019;0,4
Total Nacional;01 Andalucía;C. - De las cuales: Industria manufacturera;Estructura porcentual;2021(P);6,8
Total Nacional;01 Andalucía;C. - De las cuales: Industria manufacturera;Estructura porcentual;2020;6,4
Total Nacional;01 Andalucía;C. - De las cuales: Industria manufacturera;Estructura porcentual;2019;6,7
Total Nacional;01 Andalucía;F. Construcción;Valor;2021(P);9.256.853
Total Nacional;01 Andalucía;F. Construcción;Valor;2020;8.918.988
Total Nacional;01 Andalucía;F. Construcción;Valor;2019;10.489.402
Total Nacional;01 Andalucía;F. Construcción;Tasas de variación interanuales;2021(P);3,8
Total Nacional;01 Andalucía;F. Construcción;Tasas de variación interanuales;2020;-15,0
Total Nacional;01 Andalucía;F. Construcción;Tasas de variación interanuales;2019;10,9
Total Nacional;01 Andalucía;F. Construcción;Estructura porcentual;2021(P);5,6
Total Nacional;01 Andalucía;F. Construcción;Estructura porcentual;2020;6,0
Total Nacional;01 Andalucía;F. Construcción;Estructura porcentual;2019;6,4
Total Nacional;01 Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Valor;2021(P);31.594.093
Total Nacional;01 Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Valor;2020;26.487.461
Total Nacional;01 Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Valor;2019;34.808.451
Total Nacional;01 Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Tasas de variación interanuales;2021(P);19,3
Total Nacional;01 Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Tasas de variación interanuales;2020;-23,9
Total Nacional;01 Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Tasas de variación interanuales;2019;4,8
Total Nacional;01 Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2021(P);19,3
Total Nacional;01 Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2020;17,8
Total Nacional;01 Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2019;21,1
Total Nacional;01 Andalucía;J. Información y comunicaciones;Valor;2021(P);3.131.279
Total Nacional;01 Andalucía;J. Información y comunicaciones;Valor;2020;2.939.019
Total Nacional;01 Andalucía;J. Información y comunicaciones;Valor;2019;2.987.256
Total Nacional;01 Andalucía;J. Información y comunicaciones;Tasas de variación interanuales;2021(P);6,5
Total Nacional;01 Andalucía;J. Información y comunicaciones;Tasas de variación interanuales;2020;-1,6
Total Nacional;01 Andalucía;J. Información y comunicaciones;Tasas de variación interanuales;2019;7,4
Total Nacional;01 Andalucía;J. Información y comunicaciones;Estructura porcentual;2021(P);1,9
Total Nacional;01 Andalucía;J. Información y comunicaciones;Estructura porcentual;2020;2,0
Total Nacional;01 Andalucía;J. Información y comunicaciones;Estructura porcentual;2019;1,8
Total Nacional;01 Andalucía;K. Actividades financieras y de seguros;Valor;2021(P);5.554.191
Total Nacional;01 Andalucía;K. Actividades financieras y de seguros;Valor;2020;5.524.922
Total Nacional;01 Andalucía;K. Actividades financieras y de seguros;Valor;2019;5.282.605
Total Nacional;01 Andalucía;K. Actividades financieras y de seguros;Tasas de variación interanuales;2021(P);0,5
Total Nacional;01 Andalucía;K. Actividades financieras y de seguros;Tasas de variación interanuales;2020;4,6
Total Nacional;01 Andalucía;K. Actividades financieras y de seguros;Tasas de variación interanuales;2019;-1,8
Total Nacional;01 Andalucía;K. Actividades financieras y de seguros;Estructura porcentual;2021(P);3,4
Total Nacional;01 Andalucía;K. Actividades financieras y de seguros;Estructura porcentual;2020;3,7
Total Nacional;01 Andalucía;K. Actividades financieras y de seguros;Estructura porcentual;2019;3,2
Total Nacional;01 Andalucía;L. Actividades inmobiliarias;Valor;2021(P);19.747.665
Total Nacional;01 Andalucía;L. Actividades inmobiliarias;Valor;2020;19.211.915
Total Nacional;01 Andalucía;L. Actividades inmobiliarias;Valor;2019;19.116.983
Total Nacional;01 Andalucía;L. Actividades inmobiliarias;Tasas de variación interanuales;2021(P);2,8
Total Nacional;01 Andalucía;L. Actividades inmobiliarias;Tasas de variación interanuales;2020;0,5
Total Nacional;01 Andalucía;L. Actividades inmobiliarias;Tasas de variación interanuales;2019;3,2
Total Nacional;01 Andalucía;L. Actividades inmobiliarias;Estructura porcentual;2021(P);12,0
Total Nacional;01 Andalucía;L. Actividades inmobiliarias;Estructura porcentual;2020;12,9
Total Nacional;01 Andalucía;L. Actividades inmobiliarias;Estructura porcentual;2019;11,6
Total Nacional;01 Andalucía;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2021(P);10.046.304
Total Nacional;01 Andalucía;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2020;8.832.463
